Course,Course.1,Course.2,Description,Attempted,Grade,Notation,GPA,Class Avg,Class Size,Program Credits Earned,Other
MATH,366,AA,COMPLEX ANALYSIS I,3.0,A-,,3.7,2.45,17.0,3.0,
MATH,369,A,ABSTRACT ALGEBRA I,3.0,B-,,2.7,2.52,18.0,3.0,
MATH,392,A,ELEMENTARY NUMBER THEORY,3.0,A,,4.0,2.35,13.0,3.0,
MATH,475,A,"DISCRETE DYN.SYS,CHAOS&FRACT",3.0,A-,,3.7,,,3.0,
Course Topic:,Course Topic:,Course Topic:,DISCRETE DYNAMICAL SYSTEMS,,,,,,,,
