Course,Course.1,Course.2,Description,Attempted,Grade,Notation,GPA,Class Avg,Class Size,Program Credits Earned,Other
FRAN,305,B,COMMUNICATION ORALE,3.0,B+,,3.3,3.12,26,3.0,
GEOL,210,X,INTRODUCTION TO THE EARTH,3.0,A-,,3.7,3.25,69,3.0,
MAST,217,A,INTRO/MATHEMATICAL THINKING,3.0,A+,,4.3,2.94,49,3.0,
MAST,219,A,MULTIVARIABLE CALCULUS II,3.0,C,,2.0,1.69,17,3.0,
MECH,211,Y,MECHANICAL ENGR. DRAWING,3.5,B-,,2.7,2.62,70,3.5,
